generation	ln_likelihood	ln_prior	alpha_of_height_beta_prior	beta_of_height_beta_prior	number_of_heights	root_height	mutation_rate	freq_1	pop_size_root	pop_size_quercicus	pop_size_terrestris	pop_size_fowleri	pop_size_americanus	pop_size_unknown	pop_size_woodhousii	pop_size_nebulifer	pop_size_speciosus	pop_size_punctatus	pop_size_microscaphus	pop_size_cognatus	pop_size_hemiophrys	pop_size_baxteri	pop_size_debilis
100	-56594.8489159132441	61.4550445769759364	1	1	10	0.00894604629918258239	1	0.5	0.000603060352239627321	0.000603060352239627321	0.000603060352239627321	0.000603060352239627321	0.000603060352239627321	0.000603060352239627321	0.000603060352239627321	0.000603060352239627321	0.000603060352239627321	0.000603060352239627321	0.000603060352239627321	0.000603060352239627321	0.000603060352239627321	0.000603060352239627321	0.000603060352239627321
110	-56523.7313360880362	61.3166162184330261	1	1	10	0.0100723375836013363	1	0.5	0.000620034868406199916	0.000620034868406199916	0.000620034868406199916	0.000620034868406199916	0.000620034868406199916	0.000620034868406199916	0.000620034868406199916	0.000620034868406199916	0.000620034868406199916	0.000620034868406199916	0.000620034868406199916	0.000620034868406199916	0.000620034868406199916	0.000620034868406199916	0.000620034868406199916
120	-56506.6271455126553	56.4800243449427484	1	1	9	0.0104136722293146945	1	0.5	0.000619401508807873656	0.000619401508807873656	0.000619401508807873656	0.000619401508807873656	0.000619401508807873656	0.000619401508807873656	0.000619401508807873656	0.000619401508807873656	0.000619401508807873656	0.000619401508807873656	0.000619401508807873656	0.000619401508807873656	0.000619401508807873656	0.000619401508807873656	0.000619401508807873656
130	-56501.5493797339732	56.1826577185938589	1	1	9	0.0105946450545933799	1	0.5	0.000630404449271460519	0.000630404449271460519	0.000630404449271460519	0.000630404449271460519	0.000630404449271460519	0.000630404449271460519	0.000630404449271460519	0.000630404449271460519	0.000630404449271460519	0.000630404449271460519	0.000630404449271460519	0.000630404449271460519	0.000630404449271460519	0.000630404449271460519	0.000630404449271460519
140	-56500.5027862781135	56.3282473437874032	1	1	9	0.0109098318470021924	1	0.5	0.000600986214690137272	0.000600986214690137272	0.000600986214690137272	0.000600986214690137272	0.000600986214690137272	0.000600986214690137272	0.000600986214690137272	0.000600986214690137272	0.000600986214690137272	0.000600986214690137272	0.000600986214690137272	0.000600986214690137272	0.000600986214690137272	0.000600986214690137272	0.000600986214690137272
150	-56501.8653461276117	56.5070023808598449	1	1	9	0.0105801250468305751	1	0.5	0.000594588805796625449	0.000594588805796625449	0.000594588805796625449	0.000594588805796625449	0.000594588805796625449	0.000594588805796625449	0.000594588805796625449	0.000594588805796625449	0.000594588805796625449	0.000594588805796625449	0.000594588805796625449	0.000594588805796625449	0.000594588805796625449	0.000594588805796625449	0.000594588805796625449
160	-56458.5123888833623	56.2459359011036355	1	1	9	0.0114059526816148917	1	0.5	0.000594588805796625449	0.000594588805796625449	0.000594588805796625449	0.000594588805796625449	0.000594588805796625449	0.000594588805796625449	0.000594588805796625449	0.000594588805796625449	0.000594588805796625449	0.000594588805796625449	0.000594588805796625449	0.000594588805796625449	0.000594588805796625449	0.000594588805796625449	0.000594588805796625449
170	-56431.4983617643738	60.5482849016523446	1	1	10	0.0117079979185878875	1	0.5	0.000622828363534631835	0.000622828363534631835	0.000622828363534631835	0.000622828363534631835	0.000622828363534631835	0.000622828363534631835	0.000622828363534631835	0.000622828363534631835	0.000622828363534631835	0.000622828363534631835	0.000622828363534631835	0.000622828363534631835	0.000622828363534631835	0.000622828363534631835	0.000622828363534631835
180	-56389.9462657399999	60.5962363684742442	1	1	10	0.0115812855332401432	1	0.5	0.00061939100467573718	0.00061939100467573718	0.00061939100467573718	0.00061939100467573718	0.00061939100467573718	0.00061939100467573718	0.00061939100467573718	0.00061939100467573718	0.00061939100467573718	0.00061939100467573718	0.00061939100467573718	0.00061939100467573718	0.00061939100467573718	0.00061939100467573718	0.00061939100467573718
190	-56355.3050174298405	65.4051628324826169	1	1	11	0.0122615211510940549	1	0.5	0.000637474133891267609	0.000637474133891267609	0.000637474133891267609	0.000637474133891267609	0.000637474133891267609	0.000637474133891267609	0.000637474133891267609	0.000637474133891267609	0.000637474133891267609	0.000637474133891267609	0.000637474133891267609	0.000637474133891267609	0.000637474133891267609	0.000637474133891267609	0.000637474133891267609
200	-56320.7363960098883	60.8386305111301766	1	1	10	0.0127998838432097049	1	0.5	0.000634791563485584691	0.000634791563485584691	0.000634791563485584691	0.000634791563485584691	0.000634791563485584691	0.000634791563485584691	0.000634791563485584691	0.000634791563485584691	0.000634791563485584691	0.000634791563485584691	0.000634791563485584691	0.000634791563485584691	0.000634791563485584691	0.000634791563485584691	0.000634791563485584691
