generation 1000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
GlobalPopSizeScaler	0.449686	715	875	1	0.0516016	
NodeHeightDirichletOperator	0.653279	6783	3600	6.5	0.00908712	
NodeHeightMover	0.329348	3443	7011	6.5	0.000262503	
NodeHeightScaler	0.54405	5706	4782	6.5	0.0893629	
NodeHeightSlideBumpScaler	0.533641	5552	4852	6.5	0.0970679	
NodeHeightSlideBumpSwapScaler	0.536422	5685	4913	6.5	0.0929724	
RootHeightScaler	0.527913	11972	10706	1	0.076094	
SplitLumpNodesRevJumpSampler	0.0171952	122	6973	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0282992	199	6833	4.33333	10	
SplitLumpNodesRevJumpSampler	0.00888252	62	6918	4.33333	100	
TreeScaler	0.486137	789	834	1	0.0468596	
generation 9000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00195961	23	11714	6.5	none	
NeighborHeightNodeSwap	0.00200602	24	11940	6.5	none	
GlobalHeightSizeMixer	0.404326	729	1074	1	0.0303817	
GlobalHeightSizeRateScaler	0.473774	831	923	1	0.0319965	
GlobalNodeHeightDirichletOperator	0.358843	9153	16354	1	0.000201799	
GlobalPopSizeScaler	0.444633	787	983	1	0.0516206	
NodeHeightDirichletOperator	0.647422	7558	4116	6.5	0.00926864	
NodeHeightMover	0.334859	3951	7848	6.5	0.000260377	
NodeHeightScaler	0.540087	6339	5398	6.5	0.0901451	
NodeHeightSlideBumpScaler	0.53125	6222	5490	6.5	0.0979407	
NodeHeightSlideBumpSwapScaler	0.534022	6357	5547	6.5	0.093836	
RootHeightScaler	0.523067	13345	12168	1	0.0765732	
SplitLumpNodesRevJumpSampler	0.0176294	141	7857	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0285714	224	7616	4.33333	10	
SplitLumpNodesRevJumpSampler	0.00888325	70	7810	4.33333	100	
TreeScaler	0.48227	884	949	1	0.0468872	
generation 10000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00200108	26	12967	6.5	none	
NeighborHeightNodeSwap	0.00194625	26	13333	6.5	none	
GlobalHeightSizeMixer	0.401709	799	1190	1	0.0302953	
GlobalHeightSizeRateScaler	0.469199	914	1034	1	0.0319736	
GlobalNodeHeightDirichletOperator	0.359533	10196	18163	1	0.000200183	
GlobalPopSizeScaler	0.448049	884	1089	1	0.0520205	
NodeHeightDirichletOperator	0.643782	8355	4623	6.5	0.00944277	
NodeHeightMover	0.338322	4408	8621	6.5	0.000258968	
NodeHeightScaler	0.539994	7048	6004	6.5	0.0911311	
NodeHeightSlideBumpScaler	0.528131	6890	6156	6.5	0.0986135	
NodeHeightSlideBumpSwapScaler	0.531054	7020	6199	6.5	0.094508	
RootHeightScaler	0.519824	14750	13625	1	0.0769178	
SplitLumpNodesRevJumpSampler	0.0190616	169	8697	4.33333	1	
SplitLumpNodesRevJumpSampler	0.0279298	245	8527	4.33333	10	
SplitLumpNodesRevJumpSampler	0.00892959	78	8657	4.33333	100	
TreeScaler	0.483839	988	1054	1	0.0471769	
