generation 1000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.00138291	18	12998	6.5	none	
NeighborHeightNodeSwap	0.00108275	14	12916	6.5	none	
GlobalHeightSizeMixer	0.40558	814	1193	1	0.0281236	
GlobalHeightSizeRateScaler	0.470703	964	1084	1	0.0292331	
GlobalNodeHeightDirichletOperator	0.337731	9522	18672	1	0.000281918	
GlobalPopSizeScaler	0.454863	912	1093	1	0.0490459	
NodeHeightDirichletOperator	0.672132	8854	4319	6.5	0.00786843	
NodeHeightMover	0.263146	3433	9613	6.5	0.000365738	
NodeHeightScaler	0.567975	7566	5755	6.5	0.0811111	
NodeHeightSlideBumpScaler	0.54184	7032	5946	6.5	0.0890255	
NodeHeightSlideBumpSwapScaler	0.518694	6895	6398	6.5	0.0921244	
RootHeightScaler	0.665981	18786	9422	1	0.0502677	
SplitLumpNodesRevJumpSampler	0.0266068	231	8451	4.33333	1	
SplitLumpNodesRevJumpSampler	0.030757	271	8540	4.33333	10	
SplitLumpNodesRevJumpSampler	0.00565885	49	8610	4.33333	100	
TreeScaler	0.483402	932	996	1	0.0459306	
