plate_id,plate_index,row,column,id,sample_id,genus,species,rename,sex,latitude,longitude,year,month
plate3,71,F,11,AHT 5277,aht5277,Anaxyrus,terrestris,aht5277_terrestris,,31.158302,-86.554303,,
plate3,72,F,12,AHT 5278,aht5278,Anaxyrus,terrestris,aht5278_terrestris,,31.16105,-86.69868,,
plate1,1,A,1,KAC 016,kac016,Anaxyrus,terrestris,kac016_terrestris,?,30.548191,-86.930668,2018,5
plate1,2,A,2,KAC 038,kac038,Anaxyrus,terrestris,kac38_terrestris,f,32.814696,-86.939677,2018,5
plate1,3,A,3,KAC 039,kac039,Anaxyrus,terrestris,kac39_terrestris,m,32.810938,-86.989673,2018,5
plate1,4,A,4,KAC 040,kac040,Anaxyrus,terrestris,kac40_terrestris,f,32.809854,-86.997946,2018,5
plate1,6,A,6,KAC 042,kac042,Anaxyrus,terrestris,kac42_terrestris,f,32.824061,-86.993138,2018,5
plate1,7,A,7,KAC 043,kac043,Anaxyrus,terrestris,kac43_terrestris,j,32.824061,-86.993138,2018,5
plate1,8,A,8,KAC 044,kac044,Anaxyrus,terrestris,kac44_terrestris,m,32.804496,-87.030779,2018,5
plate1,9,A,9,KAC 045,kac045,Anaxyrus,terrestris,kac45_terrestris,f,32.767027,-87.070731,2018,5
plate1,10,A,10,KAC 046,kac046,Anaxyrus,terrestris,kac46_terrestris,f,32.765918,-87.071843,2018,5
plate1,11,A,11,KAC 047,kac047,Anaxyrus,terrestris,kac47_terrestris,f,32.78932,-86.908503,2018,5
plate1,12,A,12,KAC 048,kac048,Anaxyrus,terrestris,kac48_terrestris,m,32.735748,-86.881494,2018,5
plate1,13,B,1,KAC 049,kac049,Anaxyrus,terrestris,kac49_terrestris,f,32.732909,-86.877073,2018,5
plate1,14,B,2,KAC 050,kac050,Anaxyrus,terrestris,kac50_terrestris,f,32.748216,-86.798059,2018,5
plate1,15,B,3,KAC 051,kac051,Anaxyrus,terrestris,kac51_terrestris,m,32.787421,-86.758471,2018,5
plate1,16,B,4,KAC 052,kac052,Anaxyrus,terrestris,kac52_terrestris,j,32.780439,-86.73877,2018,5
plate1,18,B,6,KAC 065,kac065,Anaxyrus,terrestris,kac65_terrestris,j,30.432818,-81.640876,2018,8
plate1,19,B,7,KAC 066,kac066,Anaxyrus,terrestris,kac66_terrestris,j,30.432818,-81.640876,2018,8
plate1,20,B,8,KAC 067,kac067,Anaxyrus,terrestris,kac67_terrestris,j,30.432818,-81.640876,2018,8
plate1,21,B,9,KAC 070,kac070,Anaxyrus,americanus,kac70_americanus,f,34.799628,-84.576776,2018,9
plate1,22,B,10,KAC 071,kac071,Anaxyrus,terrestris,kac071_terrestris,m,32.434779,-85.6463,2018,10
plate1,23,B,11,KAC 074,kac074,Anaxyrus,terrestris,kac074_terrestris,j,30.7743,-85.2269,2018,11
plate1,24,B,12,KAC 075,kac075,Anaxyrus,terrestris,kac075_terrestris,m,32.94778,-86.632244,2019,2
plate1,25,C,1,KAC 076,kac076,Anaxyrus,terrestris,kac076_terrestris,m,32.949704,-86.526874,2019,2
plate1,26,C,2,KAC 077,kac077,Anaxyrus,terrestris,kac077_terrestris,m,32.949704,-86.526874,2019,2
plate1,27,C,3,KAC 078,kac078,Anaxyrus,americanus,kac078_americanus,m,33.002665,-86.389597,2019,2
plate1,28,C,4,KAC 079,kac079,Anaxyrus,americanus,kac079_americanus,m,33.012055,-86.478723,2019,2
plate1,29,C,5,KAC 080,kac080,Anaxyrus,americanus,kac080_americanus,m,33.044558,-86.455469,2019,2
plate1,30,C,6,KAC 081,kac081,Anaxyrus,americanus,kac081_americanus,f,33.044558,-86.455469,2019,2
plate1,31,C,7,KAC 082,kac082,Anaxyrus,americanus,kac082_americanus,m,33.044558,-86.455469,2019,2
plate1,32,C,8,KAC 083,kac083,Anaxyrus,americanus,kac083_americanus,m,33.044558,-86.455469,2019,2
plate1,33,C,9,KAC 084,kac084,Anaxyrus,americanus,kac084_americanus,m,33.044558,-86.455469,2019,2
plate1,34,C,10,KAC 085,kac085,Anaxyrus,americanus,kac085_americanus,m,33.044558,-86.455469,2019,2
plate1,35,C,11,KAC 086,kac086,Anaxyrus,americanus,kac086_americanus,m,33.044558,-86.455469,2019,2
plate1,36,C,12,KAC 087,kac087,Anaxyrus,americanus,kac087_americanus,m,33.014843,-86.390403,2019,2
plate1,38,D,2,KAC 089,kac089,Anaxyrus,americanus,kac089_americanus,m,33.014843,-86.390403,2019,2
plate1,39,D,3,KAC 090,kac090,Anaxyrus,americanus,kac090_americanus,m,33.064717,-86.474958,2019,2
plate1,40,D,4,KAC 091,kac091,Anaxyrus,americanus,kac091_americanus,f,33.064717,-86.474958,2019,2
plate1,41,D,5,KAC 092,kac092,Anaxyrus,americanus,kac092_americanus,m,33.064717,-86.474958,2019,2
plate1,42,D,6,KAC 093,kac093,Anaxyrus,americanus,kac093_americanus,m,33.064717,-86.474958,2019,2
