plate_id,plate_index,row,column,sample_id,sample_id2,species,reassign,rename,sex,latitude,longitude,year,month
plate1,93,H,9,kac_147,kac147,terrestris,terrestris,kac147_terrestris,?,32.450012,-85.796522,2019,4
plate1,94,H,10,kac_148,kac148,terrestris,terrestris,kac148_terrestris,?,32.454201,-85.794082,2019,4
plate1,95,H,11,kac_149,kac149,terrestris,terrestris,kac149_terrestris,?,32.454491,-85.786639,2019,4
plate1,96,H,12,kac_150,kac150,terrestris,terrestris,kac150_terrestris,?,32.454491,-85.786639,2019,4
plate2,1,A,1,kac_151,kac151,terrestris,terrestris,kac151_terrestris,?,32.45451,-85.784163,2019,4
plate2,2,A,2,kac_152,kac152,terrestris,terrestris,kac152_terrestris,?,32.454233,-85.776336,2019,4
plate2,3,A,3,kac_153,kac153,terrestris,terrestris,kac153_terrestris,?,32.454233,-85.776336,2019,4
plate2,4,A,4,kac_154,kac154,terrestris,terrestris,kac154_terrestris,?,32.465744,-85.769772,2019,4
plate2,5,A,5,kac_155,kac155,terrestris,terrestris,kac155_terrestris,?,32.469615,-85.773691,2019,4
plate2,6,A,6,kac_156,kac156,terrestris,terrestris,kac156_terrestris,?,32.477095,-85.791747,2019,4
plate2,7,A,7,kac_157,kac157,fowleri,fowleri,kac157_fowleri,m,32.437695,-85.636201,2019,4
plate2,8,A,8,kac_158,kac158,terrestris,terrestris,kac158_terrestris,?,32.477095,-85.791747,2019,4
plate2,9,A,9,kac_159,kac159,terrestris,terrestris,kac159_terrestris,?,32.490004,-85.797409,2019,4
plate2,10,A,10,kac_160,kac160,terrestris,terrestris,kac160_terrestris,?,32.408088,-85.478571,2019,4
plate2,11,A,11,kac_161,kac161,terrestris,terrestris,kac161_terrestris,?,32.417444,-85.471168,2019,4
plate2,12,A,12,kac_162,kac162,terrestris,terrestris,kac162_terrestris,?,32.35417,-86.098383,,
plate2,13,B,1,kac_163,kac163,terrestris,terrestris,kac163_terrestris,?,32.339941,-86.099463,,
plate2,14,B,2,kac_164,kac164,terrestris,terrestris,kac164_terrestris,?,32.315622,-86.137894,,
plate2,15,B,3,kac_165,kac165,americanus,fowleri,kac165_fowleri,m,32.663564,-85.484982,2018,4
plate2,16,B,4,kac_166,kac166,americanus,fowleri,kac166_fowleri,j,32.663564,-85.484982,2018,4
plate2,17,B,5,kac_167,kac167,americanus,terrestris,kac167_americanus,f,33.066201,-86.603276,2019,4
plate2,18,B,6,kac_172,kac172,americanus,americanus,kac172_americanus,f,32.621711,-85.614672,2019,5
plate2,19,B,7,kac_173,kac173,americanus,americanus,kac173_americanus,f,32.617511,-85.643347,2019,5
plate2,20,B,8,kac_174,kac174,americanus,fowleri,kac174_fowleri,f,32.629382,-85.638284,2019,5
plate2,21,B,9,kac_175,kac175,americanus,fowleri,kac175_fowleri,f,32.648495,-85.647115,2019,5
plate2,22,B,10,kac_176,kac176,americanus,americanus,kac176_americanus,f,32.668357,-85.662326,2019,5
plate2,23,B,11,kac_177,kac177,americanus,americanus,kac177_americanus,f,32.655707,-85.571337,2019,5
plate2,24,B,12,kac_178,kac178,fowleri,fowleri,kac178_fowleri,m,32.386444,-85.235611,2019,5
plate2,25,C,1,kac_179,kac179,fowleri,fowleri,kac179_fowleri,m,32.386444,-85.235611,2019,5
plate2,26,C,2,kac_180,kac180,fowleri,fowleri,kac180_fowleri,m,32.386444,-85.235611,2019,5
plate2,27,C,3,kac_181,kac181,terrestris,terrestris,kac181_terrestris,m,32.386444,-85.235611,2019,5
plate2,28,C,4,kac_182,kac182,terrestris,terrestris,kac182_terrestris,m,32.385793,-85.235653,2019,5
plate2,29,C,5,kac_183,kac183,terrestris,terrestris,kac183_terrestris,m,32.385793,-85.235653,2019,5
plate2,30,C,6,kac_184,kac184,terrestris,terrestris,kac184_terrestris,m,32.385793,-85.235653,2019,5
plate2,31,C,7,kac_185,kac185,terrestris,terrestris,kac185_terrestris,m,32.385793,-85.235653,2019,5
plate2,32,C,8,kac_186,kac186,fowleri,fowleri,kac186_fowleri,m,32.385793,-85.235653,2019,5
plate2,33,C,9,kac_187,kac187,americanus,americanus,kac187_americanus,m,32.645479,-85.551346,2020,2
plate2,34,C,10,kac_188,kac188,terrestris,terrestris,kac188_terrestris,f,32.409763,-85.602077,2020,2
plate2,35,C,11,kac_189,kac189,terrestris,terrestris,kac189_terrestris,f,33.091522,-86.566863,2020,3
plate2,36,C,12,kac_190,kac190,terrestris,terrestris,kac190_terrestris,f,33.112983,-86.694343,2020,3
plate2,37,D,1,kac_191,kac191,terrestris,terrestris,kac191_terrestris,m,33.106591,-86.682277,2020,3
plate2,38,D,2,kac_192,kac192,terrestris,terrestris,kac192_terrestris,f,33.105093,-86.680138,2020,3
plate2,39,D,3,kac_193,kac193,terrestris,terrestris,kac193_terrestris,f,33.07896,-86.672859,2020,3
plate2,40,D,4,kac_194,kac194,terrestris,terrestris,kac194_terrestris,m,32.939331,-86.620078,2020,3
plate2,41,D,5,kac_195,kac195,terrestris,terrestris,kac195_terrestris,f,32.947455,-86.621458,2020,3
plate2,42,D,6,kac_196,kac196,terrestris,terrestris,kac196_terrestris,f,32.948288,-86.621901,2020,3
plate2,43,D,7,kac_197,kac197,terrestris,terrestris,kac197_terrestris,m,32.949291,-86.622407,2020,3
plate2,44,D,8,kac_198,kac198,terrestris,terrestris,kac198_terrestris,j,32.950771,-86.623061,2020,3
plate2,45,D,9,kac_199,kac199,terrestris,terrestris,kac199_terrestris,f,32.957938,-86.624769,2020,3
