generation	ln_likelihood	ln_prior	alpha_of_height_beta_prior	beta_of_height_beta_prior	number_of_heights	root_height	mutation_rate	freq_1	pop_size_root	pop_size_quercicus	pop_size_terrestris	pop_size_fowleri	pop_size_americanus	pop_size_woodhousii	pop_size_speciosus	pop_size_punctatus	pop_size_microscaphus	pop_size_cognatus	pop_size_hemiophrys	pop_size_baxteri	pop_size_debilis
180	-84483.6472454058676	51.1537893504851127	1	1	8	0.00985200441308698577	1	0.5	0.000742736572703289115	0.000742736572703289115	0.000742736572703289115	0.000742736572703289115	0.000742736572703289115	0.000742736572703289115	0.000742736572703289115	0.000742736572703289115	0.000742736572703289115	0.000742736572703289115	0.000742736572703289115	0.000742736572703289115	0.000742736572703289115
190	-84485.520857016003	51.3683819770468517	1	1	8	0.0101615787205958496	1	0.5	0.000722004748924872687	0.000722004748924872687	0.000722004748924872687	0.000722004748924872687	0.000722004748924872687	0.000722004748924872687	0.000722004748924872687	0.000722004748924872687	0.000722004748924872687	0.000722004748924872687	0.000722004748924872687	0.000722004748924872687	0.000722004748924872687
200	-84481.6297056783515	55.9607334094639413	1	1	9	0.00974660380460118554	1	0.5	0.000722004748924872687	0.000722004748924872687	0.000722004748924872687	0.000722004748924872687	0.000722004748924872687	0.000722004748924872687	0.000722004748924872687	0.000722004748924872687	0.000722004748924872687	0.000722004748924872687	0.000722004748924872687	0.000722004748924872687	0.000722004748924872687
210	-84484.1442865448189	56.1007615532791633	1	1	9	0.00967682864729787172	1	0.5	0.000714320581397573915	0.000714320581397573915	0.000714320581397573915	0.000714320581397573915	0.000714320581397573915	0.000714320581397573915	0.000714320581397573915	0.000714320581397573915	0.000714320581397573915	0.000714320581397573915	0.000714320581397573915	0.000714320581397573915	0.000714320581397573915
220	-84481.4586240646313	55.8108877113309987	1	1	9	0.0103412681322941572	1	0.5	0.000706789915247768076	0.000706789915247768076	0.000706789915247768076	0.000706789915247768076	0.000706789915247768076	0.000706789915247768076	0.000706789915247768076	0.000706789915247768076	0.000706789915247768076	0.000706789915247768076	0.000706789915247768076	0.000706789915247768076	0.000706789915247768076
230	-84481.4357778377598	55.9845594824914485	1	1	9	0.0102687430053689261	1	0.5	0.000710853041246629056	0.000710853041246629056	0.000710853041246629056	0.000710853041246629056	0.000710853041246629056	0.000710853041246629056	0.000710853041246629056	0.000710853041246629056	0.000710853041246629056	0.000710853041246629056	0.000710853041246629056	0.000710853041246629056	0.000710853041246629056
240	-84481.2847861360933	55.7416444843050911	1	1	9	0.0101708563400564212	1	0.5	0.000727736375188820428	0.000727736375188820428	0.000727736375188820428	0.000727736375188820428	0.000727736375188820428	0.000727736375188820428	0.000727736375188820428	0.000727736375188820428	0.000727736375188820428	0.000727736375188820428	0.000727736375188820428	0.000727736375188820428	0.000727736375188820428
250	-84487.0638231505873	55.5739923771024564	1	1	9	0.0106310758086868053	1	0.5	0.000723013285251193432	0.000723013285251193432	0.000723013285251193432	0.000723013285251193432	0.000723013285251193432	0.000723013285251193432	0.000723013285251193432	0.000723013285251193432	0.000723013285251193432	0.000723013285251193432	0.000723013285251193432	0.000723013285251193432	0.000723013285251193432
260	-84483.2372868342936	55.5736774619311404	1	1	9	0.0104877770000266178	1	0.5	0.000718245312885586965	0.000718245312885586965	0.000718245312885586965	0.000718245312885586965	0.000718245312885586965	0.000718245312885586965	0.000718245312885586965	0.000718245312885586965	0.000718245312885586965	0.000718245312885586965	0.000718245312885586965	0.000718245312885586965	0.000718245312885586965
270	-84476.747223170998	60.7382491006884919	1	1	10	0.0100765610130046264	1	0.5	0.000710871933102059993	0.000710871933102059993	0.000710871933102059993	0.000710871933102059993	0.000710871933102059993	0.000710871933102059993	0.000710871933102059993	0.000710871933102059993	0.000710871933102059993	0.000710871933102059993	0.000710871933102059993	0.000710871933102059993	0.000710871933102059993
