"plate_id","plate_index","row","column","sample_id","sample_id2","species","reassign","rename","sex","latitude","longitude","year","month","group"
"plate1",55,"E",7,"kac_106","kac106","americanus","americanus","kac106_americanus","f",33.004635,-86.49692,2019,"2",4
"plate1",56,"E",8,"kac_107","kac107","americanus","americanus","kac107_americanus","f",33.014161,-86.384167,2019,"2",4
"plate1",57,"E",9,"kac_108","kac108","terrestris","terrestris","kac108_terrestris","m",32.940128,-86.540042,2019,"2",3
"plate1",59,"E",11,"kac_110","kac110","americanus","americanus","kac110_americanus","m",33.030987,-86.409405,2019,"2",4
"plate1",60,"E",12,"kac_111","kac111","americanus","americanus","kac111_americanus","m",33.005181,-86.498948,2019,"2",4
"plate1",61,"F",1,"kac_112","kac112","terrestris","terrestris","kac112_terrestris","m",32.950115,-86.537227,2019,"2",3
"plate1",62,"F",2,"kac_113","kac113","americanus","americanus","kac113_americanus","m",33.005279,-86.388972,2019,"2",4
"plate1",65,"F",5,"kac_116","kac116","americanus","americanus","kac116_americanus","f",32.969645,-86.421375,2019,"2",4
"plate1",67,"F",7,"kac_121","kac121","terrestris","terrestris","kac121_terrestris","f",32.441195,-85.653856,2019,"2",3
"plate1",69,"F",9,"kac_123","kac123","terrestris","terrestris","kac123_terrestris","m",32.900844,-86.675872,2019,"4",3
"plate1",70,"F",10,"kac_124","kac124","terrestris","terrestris","kac124_terrestris","f",32.910603,-86.678496,2019,"4",3
"plate1",71,"F",11,"kac_125","kac125","terrestris","terrestris","kac125_terrestris","f",32.917147,-86.682083,2019,"4",3
"plate1",72,"F",12,"kac_126","kac126","terrestris","terrestris","kac126_terrestris","m",32.927167,-86.674068,2019,"4",3
"plate1",78,"G",6,"kac_132","kac132","terrestris","terrestris","kac132_terrestris","m",33.020339,-86.666505,2019,"4",3
"plate1",79,"G",7,"kac_133","kac133","terrestris","terrestris","kac133_terrestris","f",33.01163,-86.647591,2019,"4",3
"plate1",80,"G",8,"kac_134","kac134","terrestris","terrestris","kac134_terrestris","m",33.005369,-86.636515,2019,"4",3
"plate1",81,"G",9,"kac_135","kac135","terrestris","terrestris","kac135_terrestris","f",33.00644,-86.633682,2019,"4",3
"plate1",82,"G",10,"kac_136","kac136","terrestris","terrestris","kac136_terrestris","m",33.006733,-86.633158,2019,"4",3
