generation 1000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NodeHeightSlideBumpScaler	0.55028	7163	5854	7	0.103024	
NodeHeightSlideBumpSwapScaler	0.581791	7387	5310	7	0.0936307	
RootHeightScaler	0.606257	16452	10685	1	0.062522	
SplitLumpNodesRevJumpSampler	0.0273535	231	8214	4.66667	1	
SplitLumpNodesRevJumpSampler	0.0418971	356	8141	4.66667	10	
SplitLumpNodesRevJumpSampler	0.0114791	96	8267	4.66667	100	
TreeScaler	0.468939	853	966	1	0.0530558	
generation 10000:
name	prop_accepted	number_accepted	number_rejected	weight	tuning_parameter
NeighborHeightNodePermute	0.0042792	61	14194	7	none	
NeighborHeightNodeSwap	0.00402031	57	14121	7	none	
GlobalHeightSizeMixer	0.448451	883	1086	1	0.0475436	
GlobalHeightSizeRateScaler	0.45996	919	1079	1	0.0384281	
GlobalNodeHeightDirichletOperator	0.334127	10109	20146	1	0.0002249	
GlobalPopSizeScaler	0.50595	1063	1038	1	0.0656709	
NodeHeightDirichletOperator	0.684976	9652	4439	7	0.0102004	
NodeHeightMover	0.312421	4462	9820	7	0.000435343	
NodeHeightScaler	0.568926	8118	6151	7	0.0955874	
NodeHeightSlideBumpScaler	0.55	7942	6498	7	0.104197	
NodeHeightSlideBumpSwapScaler	0.577413	8160	5972	7	0.0946402	
RootHeightScaler	0.599834	18070	12055	1	0.0631997	
SplitLumpNodesRevJumpSampler	0.0274984	257	9089	4.66667	1	
SplitLumpNodesRevJumpSampler	0.0427224	403	9030	4.66667	10	
SplitLumpNodesRevJumpSampler	0.010936	102	9225	4.66667	100	
TreeScaler	0.478326	960	1047	1	0.0535908	
