generation	ln_likelihood	ln_prior	alpha_of_height_beta_prior	beta_of_height_beta_prior	number_of_heights	root_height	mutation_rate	freq_1	pop_size_root	pop_size_quercicus	pop_size_terrestris	pop_size_fowleri	pop_size_americanus	pop_size_unknown	pop_size_woodhousii	pop_size_nebulifer	pop_size_speciosus	pop_size_punctatus	pop_size_microscaphus	pop_size_cognatus	pop_size_hemiophrys	pop_size_baxteri	pop_size_debilis
110	-56509.6650376511243	49.5838140971119401	1	1	8	0.0107746048614167662	1	0.5	0.000613447788155062953	0.000613447788155062953	0.000613447788155062953	0.000613447788155062953	0.000613447788155062953	0.000613447788155062953	0.000613447788155062953	0.000613447788155062953	0.000613447788155062953	0.000613447788155062953	0.000613447788155062953	0.000613447788155062953	0.000613447788155062953	0.000613447788155062953	0.000613447788155062953
120	-56510.7758895891893	49.373039969045081	1	1	8	0.0110521833018482132	1	0.5	0.000592184347240151394	0.000592184347240151394	0.000592184347240151394	0.000592184347240151394	0.000592184347240151394	0.000592184347240151394	0.000592184347240151394	0.000592184347240151394	0.000592184347240151394	0.000592184347240151394	0.000592184347240151394	0.000592184347240151394	0.000592184347240151394	0.000592184347240151394	0.000592184347240151394
130	-56427.7626926456869	60.76473879613782	1	1	10	0.0114295635497739193	1	0.5	0.000604552030945795034	0.000604552030945795034	0.000604552030945795034	0.000604552030945795034	0.000604552030945795034	0.000604552030945795034	0.000604552030945795034	0.000604552030945795034	0.000604552030945795034	0.000604552030945795034	0.000604552030945795034	0.000604552030945795034	0.000604552030945795034	0.000604552030945795034	0.000604552030945795034
140	-56326.9305082803767	66.0887610683764137	1	1	11	0.0126663061446465382	1	0.5	0.000601272742472210584	0.000601272742472210584	0.000601272742472210584	0.000601272742472210584	0.000601272742472210584	0.000601272742472210584	0.000601272742472210584	0.000601272742472210584	0.000601272742472210584	0.000601272742472210584	0.000601272742472210584	0.000601272742472210584	0.000601272742472210584	0.000601272742472210584	0.000601272742472210584
150	-56316.2080197435862	66.0263778451946166	1	1	11	0.0131428192583702367	1	0.5	0.000592197823729110891	0.000592197823729110891	0.000592197823729110891	0.000592197823729110891	0.000592197823729110891	0.000592197823729110891	0.000592197823729110891	0.000592197823729110891	0.000592197823729110891	0.000592197823729110891	0.000592197823729110891	0.000592197823729110891	0.000592197823729110891	0.000592197823729110891	0.000592197823729110891
160	-56308.1224007666315	65.9521310556193043	1	1	11	0.0130595167805698329	1	0.5	0.000594264114036941078	0.000594264114036941078	0.000594264114036941078	0.000594264114036941078	0.000594264114036941078	0.000594264114036941078	0.000594264114036941078	0.000594264114036941078	0.000594264114036941078	0.000594264114036941078	0.000594264114036941078	0.000594264114036941078	0.000594264114036941078	0.000594264114036941078	0.000594264114036941078
170	-56308.6769623098371	70.994368359927023	1	1	12	0.0135208868260697779	1	0.5	0.000607213830365600825	0.000607213830365600825	0.000607213830365600825	0.000607213830365600825	0.000607213830365600825	0.000607213830365600825	0.000607213830365600825	0.000607213830365600825	0.000607213830365600825	0.000607213830365600825	0.000607213830365600825	0.000607213830365600825	0.000607213830365600825	0.000607213830365600825	0.000607213830365600825
180	-56298.1742830948351	70.6717601868263188	1	1	12	0.0138507565454109999	1	0.5	0.000603865159339406991	0.000603865159339406991	0.000603865159339406991	0.000603865159339406991	0.000603865159339406991	0.000603865159339406991	0.000603865159339406991	0.000603865159339406991	0.000603865159339406991	0.000603865159339406991	0.000603865159339406991	0.000603865159339406991	0.000603865159339406991	0.000603865159339406991	0.000603865159339406991
190	-56296.9222522379278	70.5372644101040009	1	1	12	0.0143466409028276832	1	0.5	0.000604646881672138425	0.000604646881672138425	0.000604646881672138425	0.000604646881672138425	0.000604646881672138425	0.000604646881672138425	0.000604646881672138425	0.000604646881672138425	0.000604646881672138425	0.000604646881672138425	0.000604646881672138425	0.000604646881672138425	0.000604646881672138425	0.000604646881672138425	0.000604646881672138425
200	-56292.292741266574	70.9110658586384943	1	1	12	0.0138715342028900134	1	0.5	0.000589728289573467177	0.000589728289573467177	0.000589728289573467177	0.000589728289573467177	0.000589728289573467177	0.000589728289573467177	0.000589728289573467177	0.000589728289573467177	0.000589728289573467177	0.000589728289573467177	0.000589728289573467177	0.000589728289573467177	0.000589728289573467177	0.000589728289573467177	0.000589728289573467177
