P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
baxteri	quercicus	speciosus	0.0649627	0.536384	0.591693	0.0149933	53.9833	62.5	54.875
terrestris	baxteri	quercicus	0.319992	2.31819	0.0204392	0.02305	303.178	34.3318	17.6864
woodhousii	baxteri	quercicus	0.379423	2.88896	0.00386516	0.0256421	280.003	33.0924	14.8876
terrestris	baxteri	speciosus	0.214972	1.84691	0.0647596	0.0255958	337.561	60.2002	38.8971
woodhousii	baxteri	speciosus	0.143722	1.28971	0.197152	0.0165241	316.372	51.9027	38.8583
terrestris	woodhousii	baxteri	0.0620293	0.906589	0.364624	0.0252986	86.4578	164.683	145.446
fowleri	cognatus	debilis	0.365766	3.69394	0.000220809	0.0538835	153.967	75.5458	35.0819
hemiophrys	cognatus	debilis	0.217262	1.6124	0.106875	0.0278175	144.125	51.125	32.875
microscaphus	cognatus	debilis	0.255249	1.51045	0.130928	0.0347944	90.375	35.5	21.0625
debilis	punctatus	cognatus	0.0346535	0.205685	0.837037	0.00445576	94.375	26.125	24.375
quercicus	cognatus	debilis	0.0194805	0.154841	0.876947	0.00183243	121.562	29.4375	28.3125
speciosus	cognatus	debilis	0.379365	2.46279	0.013786	0.016338	343.677	20.0396	9.01667
terrestris	cognatus	debilis	0.331209	2.79963	0.00511614	0.0471737	156.098	70.333	35.3349
woodhousii	cognatus	debilis	0.346679	3.55724	0.000374766	0.0480929	152.572	67.1405	32.5722
fowleri	hemiophrys	cognatus	0.558867	7.293	3.03129e-13	0.0858707	313.692	89.2238	25.2488
fowleri	microscaphus	cognatus	0.677579	5.86747	4.425e-09	0.130149	208.906	75.427	14.4966
fowleri	cognatus	punctatus	0.544775	6.51536	7.25141e-11	0.093333	192.259	87.552	25.8004
fowleri	quercicus	cognatus	0.231349	2.46172	0.0138273	0.0792796	57.2902	110.727	69.1198
speciosus	cognatus	fowleri	0.0653855	0.400184	0.689021	0.00591124	612.952	25.7689	22.6059
fowleri	terrestris	cognatus	0.159086	2.00523	0.0449383	0.0234841	408.281	75.0515	54.4496
fowleri	woodhousii	cognatus	0.408907	6.08009	1.20115e-09	0.0340194	533.632	49.669	20.8381
hemiophrys	microscaphus	cognatus	0.235142	1.40182	0.160968	0.0304297	172.75	29.875	18.5
hemiophrys	cognatus	punctatus	0.448698	4.11209	3.9209e-05	0.0641419	167.75	59.125	22.5
hemiophrys	quercicus	cognatus	0.0269058	0.242129	0.80868	0.00738803	48.75	57.25	54.25
speciosus	cognatus	hemiophrys	0.178659	1.19371	0.232591	0.0128337	480.26	21.9083	15.2667
terrestris	hemiophrys	cognatus	0.404946	3.36027	0.000778663	0.0555301	330.138	68.0883	28.8383
woodhousii	hemiophrys	cognatus	0.390756	5.03135	4.87036e-07	0.0550817	309.583	66.6287	29.1878
microscaphus	cognatus	punctatus	0.489919	3.66415	0.000248165	0.0801451	110.812	46.1875	15.8125
microscaphus	quercicus	cognatus	0.0822873	0.614938	0.538596	0.0251117	38.125	48.5	41.125
speciosus	cognatus	microscaphus	0.235707	1.21128	0.225786	0.0131047	278.762	15.4	9.525
terrestris	microscaphus	cognatus	0.527754	4.77862	1.76505e-06	0.100513	193.974	64.0175	19.7885
woodhousii	microscaphus	cognatus	0.461538	2.85191	0.00434569	0.0710248	214.709	46.1832	17.0149
quercicus	cognatus	punctatus	0.0720721	0.541898	0.587888	0.00872886	133.25	29.75	25.75
speciosus	cognatus	punctatus	0.322209	1.8559	0.0634685	0.0147381	428.973	16.5083	8.4625
terrestris	cognatus	punctatus	0.452261	5.57259	2.50974e-08	0.0698468	191.221	70.756	26.6865
woodhousii	cognatus	punctatus	0.396695	4.91737	8.77158e-07	0.0660443	191.747	72.9027	31.4905
speciosus	cognatus	quercicus	0.190146	1.12921	0.258808	0.00938898	332.658	20.0292	13.6292
terrestris	quercicus	cognatus	0.21567	2.22542	0.0260534	0.0710065	59.5345	104.261	67.2673
woodhousii	quercicus	cognatus	0.176175	1.77553	0.0758096	0.060128	58.1545	100.145	70.1445
cognatus	speciosus	terrestris	0.011498	0.0722627	0.942393	0.00130251	583.688	25.8687	25.2806
cognatus	speciosus	woodhousii	0.130742	0.790704	0.429117	0.0143041	552.5	33.1963	25.5196
terrestris	woodhousii	cognatus	0.0560204	0.618118	0.536498	0.00866021	384.222	67.1316	60.0091
fowleri	hemiophrys	debilis	0.356274	2.92941	0.00339605	0.0252826	368.038	38.4319	18.2409
fowleri	microscaphus	debilis	0.359177	2.15518	0.0311481	0.0338239	246.529	33.1139	15.6125
punctatus	debilis	fowleri	0.173236	1.4515	0.14664	0.0259959	160.872	40.7431	28.7111
fowleri	quercicus	debilis	0.298576	2.27908	0.0226624	0.0367245	160.801	57.3028	30.952
fowleri	speciosus	debilis	0.356106	3.10864	0.00187948	0.0538341	155.183	79.3061	37.6554
terrestris	fowleri	debilis	0.00355006	0.0318254	0.974611	0.00024412	450.21	32.1667	31.9391
