generation	ln_likelihood	ln_prior	alpha_of_height_beta_prior	beta_of_height_beta_prior	number_of_heights	root_height	mutation_rate	freq_1	pop_size_root	pop_size_quercicus	pop_size_terrestris	pop_size_fowleri	pop_size_americanus	pop_size_woodhousii	pop_size_speciosus	pop_size_punctatus	pop_size_microscaphus	pop_size_cognatus	pop_size_hemiophrys	pop_size_baxteri	pop_size_debilis
170	-84533.2585868457973	52.8132402139414268	1	1	8	0.0097348045387069173	1	0.5	0.000594264812342338525	0.000594264812342338525	0.000594264812342338525	0.000594264812342338525	0.000594264812342338525	0.000594264812342338525	0.000594264812342338525	0.000594264812342338525	0.000594264812342338525	0.000594264812342338525	0.000594264812342338525	0.000594264812342338525	0.000594264812342338525
180	-84513.3178949142166	52.5926440614077393	1	1	8	0.00961056223169978914	1	0.5	0.000623287117822211877	0.000623287117822211877	0.000623287117822211877	0.000623287117822211877	0.000623287117822211877	0.000623287117822211877	0.000623287117822211877	0.000623287117822211877	0.000623287117822211877	0.000623287117822211877	0.000623287117822211877	0.000623287117822211877	0.000623287117822211877
190	-84500.5224947611423	57.2490728472490815	1	1	9	0.00965145644249019129	1	0.5	0.000634383822133960059	0.000634383822133960059	0.000634383822133960059	0.000634383822133960059	0.000634383822133960059	0.000634383822133960059	0.000634383822133960059	0.000634383822133960059	0.000634383822133960059	0.000634383822133960059	0.000634383822133960059	0.000634383822133960059	0.000634383822133960059
200	-84493.0489989286725	52.216368646079907	1	1	8	0.00960946598739573221	1	0.5	0.00066810416381559443	0.00066810416381559443	0.00066810416381559443	0.00066810416381559443	0.00066810416381559443	0.00066810416381559443	0.00066810416381559443	0.00066810416381559443	0.00066810416381559443	0.00066810416381559443	0.00066810416381559443	0.00066810416381559443	0.00066810416381559443
210	-84478.3525469432643	51.8815493554900371	1	1	8	0.0101003710206791549	1	0.5	0.00069361160211698573	0.00069361160211698573	0.00069361160211698573	0.00069361160211698573	0.00069361160211698573	0.00069361160211698573	0.00069361160211698573	0.00069361160211698573	0.00069361160211698573	0.00069361160211698573	0.00069361160211698573	0.00069361160211698573	0.00069361160211698573
220	-84477.7437675516267	56.8080143437251195	1	1	9	0.00994180326181421693	1	0.5	0.000705924274911865868	0.000705924274911865868	0.000705924274911865868	0.000705924274911865868	0.000705924274911865868	0.000705924274911865868	0.000705924274911865868	0.000705924274911865868	0.000705924274911865868	0.000705924274911865868	0.000705924274911865868	0.000705924274911865868	0.000705924274911865868
230	-84475.515158189286	56.6130161719453113	1	1	9	0.00999124488094605204	1	0.5	0.00070422908676509154	0.00070422908676509154	0.00070422908676509154	0.00070422908676509154	0.00070422908676509154	0.00070422908676509154	0.00070422908676509154	0.00070422908676509154	0.00070422908676509154	0.00070422908676509154	0.00070422908676509154	0.00070422908676509154	0.00070422908676509154
240	-84473.8867569487484	56.4104527122023285	1	1	9	0.00996676381502207935	1	0.5	0.00070422908676509154	0.00070422908676509154	0.00070422908676509154	0.00070422908676509154	0.00070422908676509154	0.00070422908676509154	0.00070422908676509154	0.00070422908676509154	0.00070422908676509154	0.00070422908676509154	0.00070422908676509154	0.00070422908676509154	0.00070422908676509154
250	-84477.8174188455159	56.8369583261373705	1	1	9	0.00987992818359955532	1	0.5	0.00069428672146869784	0.00069428672146869784	0.00069428672146869784	0.00069428672146869784	0.00069428672146869784	0.00069428672146869784	0.00069428672146869784	0.00069428672146869784	0.00069428672146869784	0.00069428672146869784	0.00069428672146869784	0.00069428672146869784	0.00069428672146869784
260	-84476.7214015047939	56.7492804288202137	1	1	9	0.00948971408410510288	1	0.5	0.000694718479476026684	0.000694718479476026684	0.000694718479476026684	0.000694718479476026684	0.000694718479476026684	0.000694718479476026684	0.000694718479476026684	0.000694718479476026684	0.000694718479476026684	0.000694718479476026684	0.000694718479476026684	0.000694718479476026684	0.000694718479476026684
